circuit_id,year,collision_dnf_rate,n_starts
albert_park,2010,0.041666666666666664,24
albert_park,2011,0.08333333333333333,24
albert_park,2012,0.041666666666666664,24
albert_park,2013,0.045454545454545456,22
albert_park,2014,0.0,22
albert_park,2015,0.0,18
albert_park,2016,0.09090909090909091,22
albert_park,2017,0.0,20
albert_park,2018,0.0,20
albert_park,2019,0.05,20
albert_park,2022,0.05,20
albert_park,2023,0.05,20
albert_park,2024,0.0,19
americas,2012,0.0,24
americas,2013,0.0,22
americas,2014,0.0,18
americas,2015,0.3,20
americas,2016,0.0,22
americas,2017,0.05,20
americas,2018,0.05,20
americas,2019,0.0,20
americas,2021,0.0,20
americas,2022,0.1,20
americas,2023,0.05,20
americas,2024,0.0,20
bahrain,2010,0.0,24
bahrain,2012,0.0,24
bahrain,2013,0.0,22
bahrain,2014,0.18181818181818182,22
bahrain,2015,0.0,20
bahrain,2016,0.09090909090909091,22
bahrain,2017,0.1,20
bahrain,2018,0.0,20
bahrain,2019,0.1,20
bahrain,2020,0.0,40
bahrain,2021,0.0,20
bahrain,2022,0.0,20
bahrain,2023,0.0,20
bahrain,2024,0.0,20
baku,2016,0.0,22
baku,2017,0.05,20
baku,2018,0.2,20
baku,2019,0.1,20
baku,2021,0.1,20
baku,2022,0.0,20
baku,2023,0.05,20
baku,2024,0.05,20
catalunya,2010,0.041666666666666664,24
catalunya,2011,0.041666666666666664,24
catalunya,2012,0.08333333333333333,24
catalunya,2013,0.0,22
catalunya,2014,0.0,22
catalunya,2015,0.05,20
catalunya,2016,0.0,22
catalunya,2017,0.05,20
catalunya,2018,0.0,20
catalunya,2019,0.1,20
catalunya,2020,0.0,20
catalunya,2021,0.0,20
catalunya,2022,0.0,20
catalunya,2023,0.0,20
catalunya,2024,0.0,20
hockenheimring,2010,0.041666666666666664,24
hockenheimring,2012,0.0,24
hockenheimring,2014,0.0,22
hockenheimring,2016,0.0,22
hockenheimring,2018,0.05,20
hockenheimring,2019,0.15,20
hungaroring,2010,0.08333333333333333,24
hungaroring,2011,0.0,24
hungaroring,2012,0.0,24
hungaroring,2013,0.0,22
hungaroring,2014,0.2727272727272727,22
hungaroring,2015,0.0,20
hungaroring,2016,0.0,22
hungaroring,2017,0.0,20
hungaroring,2018,0.0,20
hungaroring,2019,0.0,20
hungaroring,2020,0.0,20
hungaroring,2021,0.0,20
hungaroring,2022,0.0,20
hungaroring,2023,0.05,20
hungaroring,2024,0.0,20
imola,2020,0.05,20
imola,2021,0.1,20
imola,2022,0.05,20
imola,2024,0.05,20
interlagos,2010,0.041666666666666664,24
interlagos,2011,0.125,24
interlagos,2012,0.08333333333333333,24
interlagos,2013,0.045454545454545456,22
interlagos,2014,0.0,18
interlagos,2015,0.0,20
interlagos,2016,0.22727272727272727,22
interlagos,2017,0.0,20
interlagos,2018,0.05,20
interlagos,2019,0.0,20
interlagos,2021,0.05,20
interlagos,2022,0.0,20
interlagos,2023,0.0,20
interlagos,2024,0.1,20
istanbul,2010,0.041666666666666664,24
istanbul,2011,0.041666666666666664,24
istanbul,2020,0.1,20
istanbul,2021,0.0,20
jeddah,2021,0.25,20
jeddah,2022,0.05,20
jeddah,2023,0.0,20
jeddah,2024,0.05,20
losail,2021,0.05,20
losail,2023,0.0,20
losail,2024,0.15,20
marina_bay,2010,0.16666666666666666,24
marina_bay,2011,0.125,24
marina_bay,2012,0.125,24
marina_bay,2013,0.045454545454545456,22
marina_bay,2014,0.045454545454545456,22
marina_bay,2015,0.05,20
marina_bay,2016,0.0,22
marina_bay,2017,0.15,20
marina_bay,2018,0.0,20
marina_bay,2019,0.1,20
marina_bay,2022,0.2,20
marina_bay,2023,0.0,20
marina_bay,2024,0.0,20
miami,2022,0.05,20
