year,round,driverId,driverRef,drv_mechanical_dnf_rate
2010,1,1,hamilton,
2010,2,1,hamilton,0.0
2010,3,1,hamilton,0.0
2010,4,1,hamilton,0.0
2010,5,1,hamilton,0.0
2010,6,1,hamilton,0.0
2010,7,1,hamilton,0.0
2010,8,1,hamilton,0.0
2010,9,1,hamilton,0.0
2010,10,1,hamilton,0.0
2010,11,1,hamilton,0.0
2010,12,1,hamilton,0.0
2010,13,1,hamilton,0.08333333333333333
2010,14,1,hamilton,0.07692307692307693
2010,15,1,hamilton,0.07142857142857142
2010,16,1,hamilton,0.06666666666666667
2010,17,1,hamilton,0.0625
2010,18,1,hamilton,0.058823529411764705
2010,19,1,hamilton,0.05555555555555555
2011,1,1,hamilton,0.05263157894736842
2011,2,1,hamilton,0.05
2011,3,1,hamilton,0.05
2011,4,1,hamilton,0.05
2011,5,1,hamilton,0.05
2011,6,1,hamilton,0.05
2011,7,1,hamilton,0.05
2011,8,1,hamilton,0.05
2011,9,1,hamilton,0.05
2011,10,1,hamilton,0.05
2011,11,1,hamilton,0.05
2011,12,1,hamilton,0.05
2011,13,1,hamilton,0.05
2011,14,1,hamilton,0.0
2011,15,1,hamilton,0.0
2011,16,1,hamilton,0.0
2011,17,1,hamilton,0.0
2011,18,1,hamilton,0.0
2011,19,1,hamilton,0.0
2012,1,1,hamilton,0.05
2012,2,1,hamilton,0.05
2012,3,1,hamilton,0.05
2012,4,1,hamilton,0.05
2012,5,1,hamilton,0.05
2012,6,1,hamilton,0.05
2012,7,1,hamilton,0.05
2012,8,1,hamilton,0.05
2012,9,1,hamilton,0.05
2012,10,1,hamilton,0.05
2012,11,1,hamilton,0.05
2012,12,1,hamilton,0.05
2012,13,1,hamilton,0.05
2012,14,1,hamilton,0.05
2012,15,1,hamilton,0.1
2012,16,1,hamilton,0.1
2012,17,1,hamilton,0.1
2012,18,1,hamilton,0.1
2012,19,1,hamilton,0.15
2012,20,1,hamilton,0.15
2013,1,1,hamilton,0.1
2013,2,1,hamilton,0.1
2013,3,1,hamilton,0.1
2013,4,1,hamilton,0.1
2013,5,1,hamilton,0.1
2013,6,1,hamilton,0.1
2013,7,1,hamilton,0.1
2013,8,1,hamilton,0.1
2013,9,1,hamilton,0.1
2013,10,1,hamilton,0.1
2013,11,1,hamilton,0.1
2013,12,1,hamilton,0.1
2013,13,1,hamilton,0.1
2013,14,1,hamilton,0.1
2013,15,1,hamilton,0.05
2013,16,1,hamilton,0.05
2013,17,1,hamilton,0.05
2013,18,1,hamilton,0.05
2013,19,1,hamilton,0.0
2014,1,1,hamilton,0.0
2014,2,1,hamilton,0.0
2014,3,1,hamilton,0.0
2014,4,1,hamilton,0.0
2014,5,1,hamilton,0.0
2014,6,1,hamilton,0.0
2014,7,1,hamilton,0.0
2014,8,1,hamilton,0.05
2014,9,1,hamilton,0.05
2014,10,1,hamilton,0.05
2014,11,1,hamilton,0.05
2014,12,1,hamilton,0.05
2014,13,1,hamilton,0.05
2014,14,1,hamilton,0.05
2014,15,1,hamilton,0.05
2014,16,1,hamilton,0.05
2014,17,1,hamilton,0.05
2014,18,1,hamilton,0.05
2014,19,1,hamilton,0.05
2015,1,1,hamilton,0.05
2015,2,1,hamilton,0.05
2015,3,1,hamilton,0.05
2015,4,1,hamilton,0.05
2015,5,1,hamilton,0.05
2015,6,1,hamilton,0.05
2015,7,1,hamilton,0.05
2015,8,1,hamilton,0.05
2015,9,1,hamilton,0.0
2015,10,1,hamilton,0.0
2015,11,1,hamilton,0.0
2015,12,1,hamilton,0.0
2015,13,1,hamilton,0.0
2015,14,1,hamilton,0.05
2015,15,1,hamilton,0.05
2015,16,1,hamilton,0.05
2015,17,1,hamilton,0.05
2015,18,1,hamilton,0.05
2015,19,1,hamilton,0.05
2016,1,1,hamilton,0.05
2016,2,1,hamilton,0.05
2016,3,1,hamilton,0.05
2016,4,1,hamilton,0.05
2016,5,1,hamilton,0.05
2016,6,1,hamilton,0.05
2016,7,1,hamilton,0.05
2016,8,1,hamilton,0.05
2016,9,1,hamilton,0.05
2016,10,1,hamilton,0.05
2016,11,1,hamilton,0.05
2016,12,1,hamilton,0.05
2016,13,1,hamilton,0.05
2016,14,1,hamilton,0.05
2016,15,1,hamilton,0.0
2016,16,1,hamilton,0.0
2016,17,1,hamilton,0.05
2016,18,1,hamilton,0.05
2016,19,1,hamilton,0.05
2016,20,1,hamilton,0.05
2016,21,1,hamilton,0.05
2017,1,1,hamilton,0.05
2017,2,1,hamilton,0.05
2017,3,1,hamilton,0.05
2017,4,1,hamilton,0.05
2017,5,1,hamilton,0.05
2017,6,1,hamilton,0.05
2017,7,1,hamilton,0.05
2017,8,1,hamilton,0.05
2017,9,1,hamilton,0.05
2017,10,1,hamilton,0.05
2017,11,1,hamilton,0.05
2017,12,1,hamilton,0.05
2017,13,1,hamilton,0.05
2017,14,1,hamilton,0.05
2017,15,1,hamilton,0.05
2017,16,1,hamilton,0.0
2017,17,1,hamilton,0.0
2017,18,1,hamilton,0.0
2017,19,1,hamilton,0.0
2017,20,1,hamilton,0.0
2018,1,1,hamilton,0.0
2018,2,1,hamilton,0.0
2018,3,1,hamilton,0.0
2018,4,1,hamilton,0.0
2018,5,1,hamilton,0.0
2018,6,1,hamilton,0.0
2018,7,1,hamilton,0.0
2018,8,1,hamilton,0.0
2018,9,1,hamilton,0.0
2018,10,1,hamilton,0.05
2018,11,1,hamilton,0.05
2018,12,1,hamilton,0.05
2018,13,1,hamilton,0.05
2018,14,1,hamilton,0.05
2018,15,1,hamilton,0.05
2018,16,1,hamilton,0.05
2018,17,1,hamilton,0.05
2018,18,1,hamilton,0.05
2018,19,1,hamilton,0.05
2018,20,1,hamilton,0.05
2018,21,1,hamilton,0.05
2019,1,1,hamilton,0.05
2019,2,1,hamilton,0.05
2019,3,1,hamilton,0.05
2019,4,1,hamilton,0.05
2019,5,1,hamilton,0.05
2019,6,1,hamilton,0.05
2019,7,1,hamilton,0.05
2019,8,1,hamilton,0.05
2019,9,1,hamilton,0.0
2019,10,1,hamilton,0.0
2019,11,1,hamilton,0.0
2019,12,1,hamilton,0.0
2019,13,1,hamilton,0.0
2019,14,1,hamilton,0.0
2019,15,1,hamilton,0.0
2019,16,1,hamilton,0.0
2019,17,1,hamilton,0.0
2019,18,1,hamilton,0.0
2019,19,1,hamilton,0.0
2019,20,1,hamilton,0.0
2019,21,1,hamilton,0.0
2020,1,1,hamilton,0.0
2020,2,1,hamilton,0.0
2020,3,1,hamilton,0.0
2020,4,1,hamilton,0.0
2020,5,1,hamilton,0.0
2020,6,1,hamilton,0.0
2020,7,1,hamilton,0.0
2020,8,1,hamilton,0.0
2020,9,1,hamilton,0.0
2020,10,1,hamilton,0.0
2020,11,1,hamilton,0.0
2020,12,1,hamilton,0.0
2020,13,1,hamilton,0.0
2020,14,1,hamilton,0.0
2020,15,1,hamilton,0.0
2020,17,1,hamilton,0.0
2021,1,1,hamilton,0.0
2021,2,1,hamilton,0.0
2021,3,1,hamilton,0.0
2021,4,1,hamilton,0.0
2021,5,1,hamilton,0.0
2021,6,1,hamilton,0.0
2021,7,1,hamilton,0.0
2021,8,1,hamilton,0.0
2021,9,1,hamilton,0.0
2021,10,1,hamilton,0.0
2021,11,1,hamilton,0.0
2021,12,1,hamilton,0.0
2021,13,1,hamilton,0.0
2021,14,1,hamilton,0.0
2021,15,1,hamilton,0.0
2021,16,1,hamilton,0.0
2021,17,1,hamilton,0.0
2021,18,1,hamilton,0.0
2021,19,1,hamilton,0.0
2021,20,1,hamilton,0.0
2021,21,1,hamilton,0.0
2021,22,1,hamilton,0.0
2022,1,1,hamilton,0.0
2022,2,1,hamilton,0.0
2022,3,1,hamilton,0.0
2022,4,1,hamilton,0.0
2022,5,1,hamilton,0.0
2022,6,1,hamilton,0.0
2022,7,1,hamilton,0.0
2022,8,1,hamilton,0.0
2022,9,1,hamilton,0.0
2022,10,1,hamilton,0.0
2022,11,1,hamilton,0.0
2022,12,1,hamilton,0.0
2022,13,1,hamilton,0.0
2022,14,1,hamilton,0.0
2022,15,1,hamilton,0.0
2022,16,1,hamilton,0.0
2022,17,1,hamilton,0.0
2022,18,1,hamilton,0.0
2022,19,1,hamilton,0.0
2022,20,1,hamilton,0.0
2022,21,1,hamilton,0.0
2022,22,1,hamilton,0.0
2023,1,1,hamilton,0.0
2023,2,1,hamilton,0.0
2023,3,1,hamilton,0.0
2023,4,1,hamilton,0.0
2023,5,1,hamilton,0.0
2023,6,1,hamilton,0.0
2023,7,1,hamilton,0.0
2023,8,1,hamilton,0.0
2023,9,1,hamilton,0.0
2023,10,1,hamilton,0.0
2023,11,1,hamilton,0.0
2023,12,1,hamilton,0.0
2023,13,1,hamilton,0.0
2023,14,1,hamilton,0.0
2023,15,1,hamilton,0.0
2023,16,1,hamilton,0.0
2023,17,1,hamilton,0.0
2023,18,1,hamilton,0.0
2023,19,1,hamilton,0.0
2023,20,1,hamilton,0.0
2023,21,1,hamilton,0.0
2023,22,1,hamilton,0.0
2024,1,1,hamilton,0.0
2024,2,1,hamilton,0.0
2024,3,1,hamilton,0.0
2024,4,1,hamilton,0.05
2024,5,1,hamilton,0.05
2024,6,1,hamilton,0.05
2024,7,1,hamilton,0.05
2024,8,1,hamilton,0.05
2024,9,1,hamilton,0.05
2024,10,1,hamilton,0.05
2024,11,1,hamilton,0.05
2024,12,1,hamilton,0.05
2024,13,1,hamilton,0.05
2024,14,1,hamilton,0.05
2024,15,1,hamilton,0.05
2024,16,1,hamilton,0.05
2024,17,1,hamilton,0.05
2024,18,1,hamilton,0.05
2024,19,1,hamilton,0.05
2024,20,1,hamilton,0.05
2024,21,1,hamilton,0.05
2024,22,1,hamilton,0.05
2024,23,1,hamilton,0.05
2024,24,1,hamilton,0.0
2010,15,2,heidfeld,
2010,16,2,heidfeld,0.0
2010,17,2,heidfeld,0.0
2010,18,2,heidfeld,0.0
2010,19,2,heidfeld,0.0
2011,1,2,heidfeld,0.0
2011,2,2,heidfeld,0.0
2011,3,2,heidfeld,0.0
2011,4,2,heidfeld,0.0
2011,5,2,heidfeld,0.0
2011,6,2,heidfeld,0.0
2011,7,2,heidfeld,0.0
