circuit_id,year,avg_pit_stops,pit_stop_variance,n_races
bahrain,2010,2.1,0.1,1
bahrain,2011,2.1,0.1,1
bahrain,2012,2.1,0.1,1
bahrain,2013,2.1,0.1,1
bahrain,2014,2.1,0.1,1
bahrain,2015,2.1,0.1,1
bahrain,2016,2.1,0.1,1
bahrain,2017,2.1,0.1,1
bahrain,2018,2.1,0.1,1
bahrain,2019,2.1,0.1,1
bahrain,2020,2.1,0.1,1
bahrain,2021,2.1,0.1,1
bahrain,2022,2.1,0.1,1
bahrain,2023,2.1,0.1,1
bahrain,2024,2.1,0.1,1
bahrain,2025,2.1,0.1,1
albert_park,2010,2.1,0.1,1
albert_park,2011,2.1,0.1,1
albert_park,2012,2.1,0.1,1
albert_park,2013,2.1,0.1,1
albert_park,2014,2.1,0.1,1
albert_park,2015,2.1,0.1,1
albert_park,2016,2.1,0.1,1
albert_park,2017,2.1,0.1,1
albert_park,2018,2.1,0.1,1
albert_park,2019,2.1,0.1,1
albert_park,2020,2.1,0.1,1
albert_park,2021,2.1,0.1,1
albert_park,2022,2.1,0.1,1
albert_park,2023,2.1,0.1,1
albert_park,2024,2.1,0.1,1
albert_park,2025,2.1,0.1,1
sepang,2010,2.1,0.1,1
sepang,2011,2.1,0.1,1
sepang,2012,2.1,0.1,1
sepang,2013,2.1,0.1,1
sepang,2014,2.1,0.1,1
sepang,2015,2.1,0.1,1
sepang,2016,2.1,0.1,1
sepang,2017,2.1,0.1,1
sepang,2018,2.1,0.1,1
sepang,2019,2.1,0.1,1
sepang,2020,2.1,0.1,1
sepang,2021,2.1,0.1,1
sepang,2022,2.1,0.1,1
sepang,2023,2.1,0.1,1
sepang,2024,2.1,0.1,1
sepang,2025,2.1,0.1,1
shanghai,2010,2.1,0.1,1
shanghai,2011,2.1,0.1,1
shanghai,2012,2.1,0.1,1
shanghai,2013,2.1,0.1,1
shanghai,2014,2.1,0.1,1
shanghai,2015,2.1,0.1,1
shanghai,2016,2.1,0.1,1
shanghai,2017,2.1,0.1,1
shanghai,2018,2.1,0.1,1
shanghai,2019,2.1,0.1,1
shanghai,2020,2.1,0.1,1
shanghai,2021,2.1,0.1,1
shanghai,2022,2.1,0.1,1
shanghai,2023,2.1,0.1,1
shanghai,2024,2.1,0.1,1
shanghai,2025,2.1,0.1,1
catalunya,2010,2.1,0.1,1
catalunya,2011,2.1,0.1,1
catalunya,2012,2.1,0.1,1
catalunya,2013,2.1,0.1,1
catalunya,2014,2.1,0.1,1
catalunya,2015,2.1,0.1,1
catalunya,2016,2.1,0.1,1
catalunya,2017,2.1,0.1,1
catalunya,2018,2.1,0.1,1
catalunya,2019,2.1,0.1,1
catalunya,2020,2.1,0.1,1
catalunya,2021,2.1,0.1,1
catalunya,2022,2.1,0.1,1
catalunya,2023,2.1,0.1,1
catalunya,2024,2.1,0.1,1
catalunya,2025,2.1,0.1,1
monaco,2010,2.1,0.1,1
monaco,2011,2.1,0.1,1
monaco,2012,2.1,0.1,1
monaco,2013,2.1,0.1,1
monaco,2014,2.1,0.1,1
monaco,2015,2.1,0.1,1
monaco,2016,2.1,0.1,1
monaco,2017,2.1,0.1,1
monaco,2018,2.1,0.1,1
monaco,2019,2.1,0.1,1
monaco,2020,2.1,0.1,1
monaco,2021,2.1,0.1,1
monaco,2022,2.1,0.1,1
monaco,2023,2.1,0.1,1
monaco,2024,2.1,0.1,1
monaco,2025,2.1,0.1,1
istanbul,2010,2.1,0.1,1
istanbul,2011,2.1,0.1,1
istanbul,2012,2.1,0.1,1
istanbul,2013,2.1,0.1,1
istanbul,2014,2.1,0.1,1
istanbul,2015,2.1,0.1,1
istanbul,2016,2.1,0.1,1
istanbul,2017,2.1,0.1,1
istanbul,2018,2.1,0.1,1
istanbul,2019,2.1,0.1,1
istanbul,2020,2.1,0.1,1
istanbul,2021,2.1,0.1,1
istanbul,2022,2.1,0.1,1
istanbul,2023,2.1,0.1,1
istanbul,2024,2.1,0.1,1
istanbul,2025,2.1,0.1,1
villeneuve,2010,2.1,0.1,1
villeneuve,2011,2.1,0.1,1
villeneuve,2012,2.1,0.1,1
villeneuve,2013,2.1,0.1,1
villeneuve,2014,2.1,0.1,1
villeneuve,2015,2.1,0.1,1
villeneuve,2016,2.1,0.1,1
villeneuve,2017,2.1,0.1,1
villeneuve,2018,2.1,0.1,1
villeneuve,2019,2.1,0.1,1
villeneuve,2020,2.1,0.1,1
villeneuve,2021,2.1,0.1,1
villeneuve,2022,2.1,0.1,1
villeneuve,2023,2.1,0.1,1
villeneuve,2024,2.1,0.1,1
