year,round,circuit_id,location,sc_count,vsc_count
2010,1,bahrain,bahrain,0.5,0.3
2012,4,bahrain,bahrain,0.5,0.3
2013,4,bahrain,bahrain,0.5,0.3
2014,3,bahrain,bahrain,0.5,0.3
2015,4,bahrain,bahrain,0.5,0.3
2016,2,bahrain,bahrain,0.5,0.3
2017,3,bahrain,bahrain,0.5,0.3
2018,2,bahrain,bahrain,0.5,0.3
2019,2,bahrain,bahrain,0.5,0.3
2020,15,bahrain,bahrain,0.5,0.3
2020,16,bahrain,bahrain,0.5,0.3
2021,1,bahrain,bahrain,0.5,0.3
2022,1,bahrain,bahrain,0.5,0.3
2023,1,bahrain,bahrain,0.5,0.3
2024,1,bahrain,bahrain,0.5,0.3
2025,4,bahrain,bahrain,0.5,0.3
2010,2,albert_park,albert_park,0.5,0.3
2011,1,albert_park,albert_park,0.5,0.3
2012,1,albert_park,albert_park,0.5,0.3
2013,1,albert_park,albert_park,0.5,0.3
2014,1,albert_park,albert_park,0.5,0.3
2015,1,albert_park,albert_park,0.5,0.3
2016,1,albert_park,albert_park,0.5,0.3
2017,1,albert_park,albert_park,0.5,0.3
2018,1,albert_park,albert_park,0.5,0.3
2019,1,albert_park,albert_park,0.5,0.3
2022,3,albert_park,albert_park,0.5,0.3
2023,3,albert_park,albert_park,0.5,0.3
2024,3,albert_park,albert_park,0.5,0.3
2025,1,albert_park,albert_park,0.5,0.3
2010,3,sepang,sepang,0.5,0.3
2011,2,sepang,sepang,0.5,0.3
2012,2,sepang,sepang,0.5,0.3
2013,2,sepang,sepang,0.5,0.3
2014,2,sepang,sepang,0.5,0.3
2015,2,sepang,sepang,0.5,0.3
2016,16,sepang,sepang,0.5,0.3
2017,15,sepang,sepang,0.5,0.3
2010,4,shanghai,shanghai,0.5,0.3
2011,3,shanghai,shanghai,0.5,0.3
2012,3,shanghai,shanghai,0.5,0.3
2013,3,shanghai,shanghai,0.5,0.3
2014,4,shanghai,shanghai,0.5,0.3
2015,3,shanghai,shanghai,0.5,0.3
2016,3,shanghai,shanghai,0.5,0.3
2017,2,shanghai,shanghai,0.5,0.3
2018,3,shanghai,shanghai,0.5,0.3
2019,3,shanghai,shanghai,0.5,0.3
2024,5,shanghai,shanghai,0.5,0.3
2025,2,shanghai,shanghai,0.5,0.3
2010,5,catalunya,catalunya,0.5,0.3
2011,5,catalunya,catalunya,0.5,0.3
2012,5,catalunya,catalunya,0.5,0.3
2013,5,catalunya,catalunya,0.5,0.3
2014,5,catalunya,catalunya,0.5,0.3
2015,5,catalunya,catalunya,0.5,0.3
2016,5,catalunya,catalunya,0.5,0.3
2017,5,catalunya,catalunya,0.5,0.3
2018,5,catalunya,catalunya,0.5,0.3
2019,5,catalunya,catalunya,0.5,0.3
2020,6,catalunya,catalunya,0.5,0.3
2021,4,catalunya,catalunya,0.5,0.3
2022,6,catalunya,catalunya,0.5,0.3
2023,7,catalunya,catalunya,0.5,0.3
2024,10,catalunya,catalunya,0.5,0.3
2025,9,catalunya,catalunya,0.5,0.3
2010,6,monaco,monaco,0.5,0.3
2011,6,monaco,monaco,0.5,0.3
2012,6,monaco,monaco,0.5,0.3
2013,6,monaco,monaco,0.5,0.3
2014,6,monaco,monaco,0.5,0.3
2015,6,monaco,monaco,0.5,0.3
2016,6,monaco,monaco,0.5,0.3
2017,6,monaco,monaco,0.5,0.3
2018,6,monaco,monaco,0.5,0.3
2019,6,monaco,monaco,0.5,0.3
2021,5,monaco,monaco,0.5,0.3
2022,7,monaco,monaco,0.5,0.3
2023,6,monaco,monaco,0.5,0.3
2024,8,monaco,monaco,0.5,0.3
2025,8,monaco,monaco,0.5,0.3
2010,7,istanbul,istanbul,0.5,0.3
2011,4,istanbul,istanbul,0.5,0.3
2020,14,istanbul,istanbul,0.5,0.3
2021,16,istanbul,istanbul,0.5,0.3
2010,8,villeneuve,villeneuve,0.5,0.3
2011,7,villeneuve,villeneuve,0.5,0.3
2012,7,villeneuve,villeneuve,0.5,0.3
2013,7,villeneuve,villeneuve,0.5,0.3
2014,7,villeneuve,villeneuve,0.5,0.3
2015,7,villeneuve,villeneuve,0.5,0.3
2016,7,villeneuve,villeneuve,0.5,0.3
2017,7,villeneuve,villeneuve,0.5,0.3
2018,7,villeneuve,villeneuve,0.5,0.3
2019,7,villeneuve,villeneuve,0.5,0.3
2022,9,villeneuve,villeneuve,0.5,0.3
2023,8,villeneuve,villeneuve,0.5,0.3
2024,9,villeneuve,villeneuve,0.5,0.3
2025,10,villeneuve,villeneuve,0.5,0.3
2010,9,valencia,valencia,0.5,0.3
