feature,importance
q_gap_pct,649
career_avg_fin,624
drv_finish_std_last5,604
career_races,597
con_champ_pts,544
team_avg_fin_season,540
historical_dnf_rate,531
team_avg_qual_season,512
drv_champ_pts,484
avg_fin_last5,478
circ_avg_fin,467
team_p10_zone_rate_season,430
avg_qual_last3,400
overtaking_difficulty,372
avg_fin_last3,353
teammate_grid,351
midfield_qual_density,333
self_grid_displacement,330
last_race_pos,318
last_qual_pos,304
circ_last_fin,298
pts_last3,297
race_num,240
drv_champ_pos,232
drv_dnf_rate_last10,219
grid_position,208
drv_p10_zone_rate_last10,187
constructor_dnf_rate,158
circ_p10_zone_rate,137
fp2_position,136
driver_circuit_dnf_rate,129
grid_p10_proximity,129
con_champ_pos,123
circ_races,109
grid_displacement_behind,92
dnf_last5,41
is_street,27
last_dnf,17
