model,bin_idx,bin_lower,bin_upper,count,mean_prob,empirical_rate
rf_clf,0,0.0,0.1,441,0.050608375425848666,0.047619047619047616
rf_clf,1,0.1,0.2,37,0.12690454255175704,0.08108108108108109
rf_clf,2,0.2,0.30000000000000004,1,0.2044319740872577,0.0
rf_clf,3,0.30000000000000004,0.4,0,,
rf_clf,4,0.4,0.5,0,,
rf_clf,5,0.5,0.6000000000000001,0,,
rf_clf,6,0.6000000000000001,0.7000000000000001,0,,
rf_clf,7,0.7000000000000001,0.8,0,,
rf_clf,8,0.8,0.9,0,,
rf_clf,9,0.9,1.0,0,,
xgb_clf,0,0.0,0.1,459,0.046496760030605634,0.05010893246187364
xgb_clf,1,0.1,0.2,19,0.1254316371607933,0.05263157894736842
xgb_clf,2,0.2,0.30000000000000004,1,0.21643735604627512,0.0
xgb_clf,3,0.30000000000000004,0.4,0,,
xgb_clf,4,0.4,0.5,0,,
xgb_clf,5,0.5,0.6000000000000001,0,,
xgb_clf,6,0.6000000000000001,0.7000000000000001,0,,
xgb_clf,7,0.7000000000000001,0.8,0,,
xgb_clf,8,0.8,0.9,0,,
xgb_clf,9,0.9,1.0,0,,
