cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts
2021,2017,2020,1,ridge,gasly,17,4
2021,2017,2020,1,rf_reg,gasly,17,4
2021,2017,2020,1,rf_clf,stroll,10,25
2021,2017,2020,1,xgb_reg,stroll,10,25
2021,2017,2020,1,xgb_clf,perez,5,8
2021,2017,2020,1,xgb_ranker,perez,5,8
2021,2017,2020,1,lgb_reg,stroll,10,25
2021,2017,2020,1,lgbm_ranker,perez,5,8
2021,2017,2020,1,ensemble,stroll,10,25
2021,2017,2020,2,ridge,ricciardo,6,10
2021,2017,2020,2,rf_reg,norris,3,4
2021,2017,2020,2,rf_clf,stroll,8,15
2021,2017,2020,2,xgb_reg,norris,3,4
2021,2017,2020,2,xgb_clf,vettel,15,8
2021,2017,2020,2,xgb_ranker,alonso,10,25
2021,2017,2020,2,lgb_reg,stroll,8,15
2021,2017,2020,2,lgbm_ranker,alonso,10,25
2021,2017,2020,2,ensemble,stroll,8,15
2021,2017,2020,3,ridge,gasly,10,25
2021,2017,2020,3,rf_reg,leclerc,6,10
2021,2017,2020,3,rf_clf,tsunoda,15,8
2021,2017,2020,3,xgb_reg,ricciardo,9,18
2021,2017,2020,3,xgb_clf,alonso,8,15
2021,2017,2020,3,xgb_ranker,alonso,8,15
2021,2017,2020,3,lgb_reg,norris,5,8
2021,2017,2020,3,lgbm_ranker,alonso,8,15
2021,2017,2020,3,ensemble,alonso,8,15
2021,2017,2020,4,ridge,alonso,17,4
2021,2017,2020,4,rf_reg,alonso,17,4
2021,2017,2020,4,rf_clf,stroll,11,18
2021,2017,2020,4,xgb_reg,ocon,9,18
2021,2017,2020,4,xgb_clf,vettel,13,12
2021,2017,2020,4,xgb_ranker,giovinazzi,15,8
2021,2017,2020,4,lgb_reg,ocon,9,18
2021,2017,2020,4,lgbm_ranker,giovinazzi,15,8
2021,2017,2020,4,ensemble,gasly,10,25
2021,2017,2020,5,ridge,vettel,5,8
2021,2017,2020,5,rf_reg,ricciardo,12,15
2021,2017,2020,5,rf_clf,stroll,8,15
2021,2017,2020,5,xgb_reg,vettel,5,8
2021,2017,2020,5,xgb_clf,stroll,8,15
2021,2017,2020,5,xgb_ranker,stroll,8,15
2021,2017,2020,5,lgb_reg,vettel,5,8
2021,2017,2020,5,lgbm_ranker,stroll,8,15
2021,2017,2020,5,ensemble,ricciardo,12,15
