cv_year,train_start,train_end,round,stage,model,picked,actual_pos,fantasy_pts
2023,2019,2022,1,EARLY,ridge,stroll,6,10
2023,2019,2022,1,EARLY,rf_reg,ocon,18,2
2023,2019,2022,1,EARLY,rf_clf,zhou,16,6
2023,2019,2022,1,EARLY,xgb_reg,ocon,18,2
2023,2019,2022,1,EARLY,xgb_clf,zhou,16,6
2023,2019,2022,1,EARLY,xgb_ranker,zhou,16,6
2023,2019,2022,1,EARLY,lgb_reg,sainz,4,6
2023,2019,2022,1,EARLY,lgbm_ranker,piastri,20,0
2023,2019,2022,1,EARLY,ensemble,bottas,8,15
2023,2019,2022,2,EARLY,ridge,ocon,8,15
2023,2019,2022,2,EARLY,rf_reg,hamilton,5,8
2023,2019,2022,2,EARLY,rf_clf,gasly,9,18
2023,2019,2022,2,EARLY,xgb_reg,ocon,8,15
2023,2019,2022,2,EARLY,xgb_clf,ocon,8,15
2023,2019,2022,2,EARLY,xgb_ranker,hulkenberg,12,15
2023,2019,2022,2,EARLY,lgb_reg,ocon,8,15
2023,2019,2022,2,EARLY,lgbm_ranker,zhou,13,12
2023,2019,2022,2,EARLY,ensemble,gasly,9,18
2023,2019,2022,3,EARLY,ridge,perez,5,8
2023,2019,2022,3,EARLY,rf_reg,gasly,13,12
2023,2019,2022,3,EARLY,rf_clf,tsunoda,10,25
2023,2019,2022,3,EARLY,xgb_reg,hulkenberg,7,12
2023,2019,2022,3,EARLY,xgb_clf,de_vries,15,8
2023,2019,2022,3,EARLY,xgb_ranker,de_vries,15,8
2023,2019,2022,3,EARLY,lgb_reg,albon,19,1
2023,2019,2022,3,EARLY,lgbm_ranker,de_vries,15,8
2023,2019,2022,3,EARLY,ensemble,ocon,14,10
2023,2019,2022,4,EARLY,ridge,stroll,7,12
2023,2019,2022,4,EARLY,rf_reg,norris,9,18
2023,2019,2022,4,EARLY,rf_clf,bottas,18,2
2023,2019,2022,4,EARLY,xgb_reg,russell,8,15
2023,2019,2022,4,EARLY,xgb_clf,sargeant,16,6
2023,2019,2022,4,EARLY,xgb_ranker,tsunoda,10,25
2023,2019,2022,4,EARLY,lgb_reg,ocon,15,8
2023,2019,2022,4,EARLY,lgbm_ranker,sargeant,16,6
2023,2019,2022,4,EARLY,ensemble,piastri,11,18
2023,2019,2022,5,EARLY,ridge,ocon,9,18
2023,2019,2022,5,EARLY,rf_reg,hamilton,6,10
2023,2019,2022,5,EARLY,rf_clf,hulkenberg,15,8
2023,2019,2022,5,EARLY,xgb_reg,ocon,9,18
2023,2019,2022,5,EARLY,xgb_clf,kevin_magnussen,10,25
2023,2019,2022,5,EARLY,xgb_ranker,kevin_magnussen,10,25
2023,2019,2022,5,EARLY,lgb_reg,hamilton,6,10
2023,2019,2022,5,EARLY,lgbm_ranker,kevin_magnussen,10,25
2023,2019,2022,5,EARLY,ensemble,bottas,13,12
2023,2019,2022,6,MID,ridge,gasly,7,12
2023,2019,2022,6,MID,rf_reg,stroll,20,0
2023,2019,2022,6,MID,rf_clf,tsunoda,15,8
2023,2019,2022,6,MID,xgb_reg,russell,5,8
2023,2019,2022,6,MID,xgb_clf,tsunoda,15,8
2023,2019,2022,6,MID,xgb_ranker,tsunoda,15,8
2023,2019,2022,6,MID,lgb_reg,stroll,20,0
2023,2019,2022,6,MID,lgbm_ranker,tsunoda,15,8
2023,2019,2022,6,MID,ensemble,tsunoda,15,8
2023,2019,2022,7,MID,ridge,russell,3,4
2023,2019,2022,7,MID,rf_reg,leclerc,11,18
2023,2019,2022,7,MID,rf_clf,bottas,19,1
2023,2019,2022,7,MID,xgb_reg,norris,17,4
2023,2019,2022,7,MID,xgb_clf,piastri,13,12
2023,2019,2022,7,MID,xgb_ranker,piastri,13,12
2023,2019,2022,7,MID,lgb_reg,alonso,7,12
2023,2019,2022,7,MID,lgbm_ranker,bottas,19,1
2023,2019,2022,7,MID,ensemble,piastri,13,12
2023,2019,2022,8,MID,ridge,norris,13,12
2023,2019,2022,8,MID,rf_reg,norris,13,12
2023,2019,2022,8,MID,rf_clf,leclerc,4,6
2023,2019,2022,8,MID,xgb_reg,norris,13,12
2023,2019,2022,8,MID,xgb_clf,albon,7,12
2023,2019,2022,8,MID,xgb_ranker,albon,7,12
2023,2019,2022,8,MID,lgb_reg,norris,13,12
2023,2019,2022,8,MID,lgbm_ranker,perez,6,10
