cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts
2014,2010,2013,1,ridge,ricciardo,20,0
2014,2010,2013,1,rf_reg,massa,20,0
2014,2010,2013,1,rf_clf,sutil,11,18
2014,2010,2013,1,xgb_reg,vettel,18,2
2014,2010,2013,1,xgb_clf,bottas,5,8
2014,2010,2013,1,xgb_ranker,sutil,11,18
2014,2010,2013,1,lgb_reg,bottas,5,8
2014,2010,2013,1,ensemble,bottas,5,8
2014,2010,2013,2,ridge,button,6,10
2014,2010,2013,2,rf_reg,kvyat,10,25
2014,2010,2013,2,rf_clf,perez,20,0
2014,2010,2013,2,xgb_reg,massa,7,12
2014,2010,2013,2,xgb_clf,massa,7,12
2014,2010,2013,2,xgb_ranker,sutil,18,2
2014,2010,2013,2,lgb_reg,massa,7,12
2014,2010,2013,2,ensemble,massa,7,12
2014,2010,2013,3,ridge,bottas,8,15
2014,2010,2013,3,rf_reg,perez,3,4
2014,2010,2013,3,rf_clf,vergne,20,0
2014,2010,2013,3,xgb_reg,bottas,8,15
2014,2010,2013,3,xgb_clf,alonso,9,18
2014,2010,2013,3,xgb_ranker,gutierrez,19,1
2014,2010,2013,3,lgb_reg,perez,3,4
2014,2010,2013,3,ensemble,massa,7,12
2014,2010,2013,4,ridge,hulkenberg,6,10
2014,2010,2013,4,rf_reg,raikkonen,8,15
2014,2010,2013,4,rf_clf,vergne,12,15
2014,2010,2013,4,xgb_reg,ricciardo,4,6
2014,2010,2013,4,xgb_clf,button,11,18
2014,2010,2013,4,xgb_ranker,grosjean,20,0
2014,2010,2013,4,lgb_reg,ricciardo,4,6
2014,2010,2013,4,ensemble,button,11,18
2014,2010,2013,5,ridge,perez,9,18
2014,2010,2013,5,rf_reg,kevin_magnussen,12,15
2014,2010,2013,5,rf_clf,kevin_magnussen,12,15
2014,2010,2013,5,xgb_reg,button,11,18
2014,2010,2013,5,xgb_clf,kevin_magnussen,12,15
2014,2010,2013,5,xgb_ranker,kevin_magnussen,12,15
2014,2010,2013,5,lgb_reg,button,11,18
2014,2010,2013,5,ensemble,kevin_magnussen,12,15
2014,2010,2013,6,ridge,kvyat,19,1
