cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts,season_frac,half,third,quarter,half_label,third_label,quarter_label
2014,2010,2013,1,ridge,ricciardo,20,0,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,1,rf_reg,massa,20,0,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,1,rf_clf,sutil,11,18,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,1,xgb_reg,bottas,5,8,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,1,xgb_clf,sutil,11,18,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,1,xgb_ranker,gutierrez,12,15,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,1,lgb_reg,bottas,5,8,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,1,ensemble,button,3,4,0.0,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,2,ridge,button,6,10,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,2,rf_reg,kvyat,10,25,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,2,rf_clf,perez,20,0,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,2,xgb_reg,massa,7,12,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,2,xgb_clf,massa,7,12,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,2,xgb_ranker,massa,7,12,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,2,lgb_reg,kvyat,10,25,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,2,ensemble,kvyat,10,25,0.05263157894736842,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,3,ridge,bottas,8,15,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,3,rf_reg,perez,3,4,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,3,rf_clf,kvyat,11,18,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,3,xgb_reg,bottas,8,15,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,3,xgb_clf,hulkenberg,5,8,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,3,xgb_ranker,gutierrez,19,1,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,3,lgb_reg,bottas,8,15,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,3,ensemble,massa,7,12,0.10526315789473684,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,4,ridge,hulkenberg,6,10,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,4,rf_reg,massa,15,8,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,4,rf_clf,kvyat,10,25,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,4,xgb_reg,massa,15,8,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,4,xgb_clf,grosjean,20,0,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,4,xgb_ranker,vergne,12,15,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,4,lgb_reg,raikkonen,8,15,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,4,ensemble,raikkonen,8,15,0.15789473684210525,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,5,ridge,perez,9,18,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,5,rf_reg,raikkonen,7,12,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,5,rf_clf,kevin_magnussen,12,15,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,5,xgb_reg,ricciardo,3,4,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,5,xgb_clf,kevin_magnussen,12,15,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,5,xgb_ranker,kevin_magnussen,12,15,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,5,lgb_reg,button,11,18,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,5,ensemble,kevin_magnussen,12,15,0.21052631578947367,1,1,1,H1 (early),T1 (early),Q1 (R1–25%)
2014,2010,2013,6,ridge,kvyat,19,1,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,6,rf_reg,ricciardo,3,4,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,6,rf_clf,button,6,10,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,6,xgb_reg,vergne,17,4,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,6,xgb_clf,button,6,10,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
2014,2010,2013,6,xgb_ranker,bottas,16,6,0.2631578947368421,1,1,2,H1 (early),T1 (early),Q2 (26–50%)
