year,round,race_name_tracked,model,predicted_tracked,predicted_current,actual_p10_tracked,actual_pos_tracked,actual_pos_current,fantasy_pts_tracked,fantasy_pts_current,fantasy_pts_delta,pick_changed,_merge
2025,1,Australian Grand Prix,ensemble,bortoleto,bortoleto,hamilton,16,16,6,6,0,False,both
2025,2,Chinese Grand Prix,ensemble,hadjar,albon,sainz,11,7,18,12,-6,True,both
2025,3,Japanese Grand Prix,ensemble,bearman,bearman,bearman,10,10,25,25,0,False,both
2025,4,Bahrain Grand Prix,ensemble,tsunoda,tsunoda,bearman,9,9,18,18,0,False,both
2025,5,Saudi Arabian Grand Prix,ensemble,albon,albon,hadjar,9,9,18,18,0,False,both
2025,6,Miami Grand Prix,ensemble,hadjar,tsunoda,tsunoda,11,10,18,25,7,True,both
2025,7,Emilia Romagna Grand Prix,ensemble,alonso,alonso,tsunoda,11,11,18,18,0,False,both
2025,8,Monaco Grand Prix,ensemble,albon,hadjar,sainz,9,6,18,10,-8,True,both
2025,9,Spanish Grand Prix,ensemble,hadjar,hadjar,max_verstappen,7,7,12,12,0,False,both
2025,10,Canadian Grand Prix,ensemble,ocon,ocon,sainz,9,9,18,18,0,False,both
2025,11,Austrian Grand Prix,ensemble,hadjar,hadjar,ocon,12,12,15,15,0,False,both
2025,12,British Grand Prix,ensemble,bearman,bearman,russell,11,11,18,18,0,False,both
2025,13,Belgian Grand Prix,ensemble,gasly,ocon,gasly,10,15,25,8,-17,True,both
2025,14,Hungarian Grand Prix,ensemble,bearman,bearman,antonelli,20,20,0,0,0,False,both
2025,15,Dutch Grand Prix,ensemble,antonelli,antonelli,ocon,16,16,6,6,0,False,both
2025,16,Italian Grand Prix,ensemble,albon,albon,hadjar,7,7,12,12,0,False,both
2025,17,Azerbaijan Grand Prix,ensemble,bearman,stroll,hadjar,12,17,15,4,-11,True,both
2025,18,Singapore Grand Prix,ensemble,lawson,hadjar,sainz,15,11,8,18,10,True,both
2025,19,United States Grand Prix,ensemble,lawson,lawson,alonso,11,11,18,18,0,False,both
2025,20,Mexico City Grand Prix,ensemble,hadjar,lawson,bortoleto,13,20,12,0,-12,True,both
2025,21,São Paulo Grand Prix,ensemble,hamilton,sainz,gasly,18,13,2,12,10,True,both
2025,22,Las Vegas Grand Prix,ensemble,hadjar,hadjar,bearman,6,6,10,10,0,False,both
2025,23,Qatar Grand Prix,ensemble,bearman,hamilton,tsunoda,19,12,1,15,14,True,both
2025,24,Abu Dhabi Grand Prix,ensemble,bearman,bearman,stroll,12,12,15,15,0,False,both
2025,1,Australian Grand Prix,lgb_reg,alonso,hadjar,hamilton,17,20,4,0,-4,True,both
2025,2,Chinese Grand Prix,lgb_reg,albon,sainz,sainz,7,10,12,25,13,True,both
2025,3,Japanese Grand Prix,lgb_reg,bearman,hadjar,bearman,10,8,25,15,-10,True,both
2025,4,Bahrain Grand Prix,lgb_reg,hamilton,tsunoda,bearman,5,9,8,18,10,True,both
