model,segment_idx,segment,avg_pts,std_pts,n_races,se,ci95_lo,ci95_hi
ensemble,1,H1 (early),11.217054263565892,7.057754202283115,129,0.6214006084023649,9.999109071097257,12.434999456034527
ensemble,2,H2 (late),12.048780487804878,6.6847681747223,123,0.6027452477938334,10.867399802128965,13.230161173480791
rf_clf,1,H1 (early),11.589147286821705,7.00849083601096,129,0.6170632108540679,10.379703393547732,12.798591180095677
rf_clf,2,H2 (late),11.211382113821138,7.138273695564792,123,0.6436364635236048,9.949854645314872,12.472909582327404
xgb_ranker,1,H1 (early),10.627906976744185,7.587067293511971,129,0.6680040274926113,9.318619082858667,11.937194870629703
xgb_ranker,2,H2 (late),11.821138211382113,7.147202273141572,123,0.6444415262517802,10.558032819928624,13.084243602835603
rf_reg,1,H1 (early),10.364341085271318,6.600115984416635,129,0.5811078100333863,9.22536977760588,11.503312392936756
rf_reg,2,H2 (late),12.008130081300813,7.106330512999612,123,0.6407562437482387,10.752247843554265,13.26401231904736
ridge,1,H1 (early),10.565891472868216,6.4467105968377245,129,0.5676012187804778,9.45339308405848,11.678389861677953
ridge,2,H2 (late),11.520325203252032,7.172750796712278,123,0.6467451590432094,10.252704691527342,12.787945714976722
lgb_reg,1,H1 (early),10.984496124031008,6.7615462545144185,129,0.5953209527949846,9.817667056552837,12.151325191509178
lgb_reg,2,H2 (late),10.609756097560975,6.6092758294085705,123,0.5959383322519116,9.44171696634723,11.777795228774721
xgb_clf,1,H1 (early),10.945736434108527,7.228751272608591,129,0.6364560609570741,9.698282554632662,12.193190313584392
xgb_clf,2,H2 (late),10.471544715447154,6.88586721237251,123,0.6208777373748371,9.254624350192472,11.688465080701835
xgb_reg,1,H1 (early),10.744186046511627,6.830857227692312,129,0.6014234437102635,9.56539609683951,11.922975996183744
xgb_reg,2,H2 (late),10.105691056910569,6.247377165239458,123,0.563307028621112,9.00160928081319,11.209772833007948
