strategy,n_races,total_pts,avg_pts,exact_p10,within_2,delta_vs_current,delta_vs_naive,passes_gap_gate
naive_grid_p10,24,337,14.041666666666666,3,12,2.833333333333332,0.0,True
ot_ge_4.5_grid_1.5,24,304,12.666666666666666,2,12,1.4583333333333321,-1.375,False
ot_ge_4.5_stability_1.5,24,304,12.666666666666666,2,12,1.4583333333333321,-1.375,False
ot_ge_5_grid_1.5,24,304,12.666666666666666,2,12,1.4583333333333321,-1.375,False
ot_ge_5_stability_1.5,24,304,12.666666666666666,2,12,1.4583333333333321,-1.375,False
ot_ge_4.5_grid_2,24,298,12.416666666666666,2,12,1.2083333333333321,-1.625,False
ot_ge_4.5_stability_2,24,298,12.416666666666666,2,12,1.2083333333333321,-1.625,False
ot_ge_5_grid_2,24,298,12.416666666666666,2,12,1.2083333333333321,-1.625,False
ot_ge_5_stability_2,24,298,12.416666666666666,2,12,1.2083333333333321,-1.625,False
ot_ge_5.5_grid_1.5,24,291,12.125,2,12,0.9166666666666661,-1.916666666666666,False
ot_ge_5.5_stability_1.5,24,291,12.125,2,12,0.9166666666666661,-1.916666666666666,False
ot_ge_6.5_grid_1.5,24,291,12.125,2,12,0.9166666666666661,-1.916666666666666,False
ot_ge_6.5_stability_1.5,24,291,12.125,2,12,0.9166666666666661,-1.916666666666666,False
ot_ge_6_grid_1.5,24,291,12.125,2,12,0.9166666666666661,-1.916666666666666,False
ot_ge_6_stability_1.5,24,291,12.125,2,12,0.9166666666666661,-1.916666666666666,False
ot_ge_5.5_grid_2,24,285,11.875,2,12,0.6666666666666661,-2.166666666666666,False
ot_ge_5.5_stability_2,24,285,11.875,2,12,0.6666666666666661,-2.166666666666666,False
ot_ge_6.5_grid_2,24,285,11.875,2,12,0.6666666666666661,-2.166666666666666,False
ot_ge_6.5_stability_2,24,285,11.875,2,12,0.6666666666666661,-2.166666666666666,False
ot_ge_6_grid_2,24,285,11.875,2,12,0.6666666666666661,-2.166666666666666,False
ot_ge_6_stability_2,24,285,11.875,2,12,0.6666666666666661,-2.166666666666666,False
street_stability_1.5,24,283,11.791666666666666,2,11,0.5833333333333321,-2.25,False
street_stability_2,24,283,11.791666666666666,2,11,0.5833333333333321,-2.25,False
ot_ge_5.5_grid_1,24,275,11.458333333333334,2,11,0.25,-2.583333333333332,False
ot_ge_5.5_stability_1,24,275,11.458333333333334,2,11,0.25,-2.583333333333332,False
ot_ge_6.5_grid_1,24,275,11.458333333333334,2,11,0.25,-2.583333333333332,False
ot_ge_6.5_stability_1,24,275,11.458333333333334,2,11,0.25,-2.583333333333332,False
ot_ge_6_grid_1,24,275,11.458333333333334,2,11,0.25,-2.583333333333332,False
ot_ge_6_stability_1,24,275,11.458333333333334,2,11,0.25,-2.583333333333332,False
ot_ge_4.5_grid_1,24,270,11.25,2,10,0.041666666666666075,-2.791666666666666,False
ot_ge_4.5_stability_1,24,270,11.25,2,10,0.041666666666666075,-2.791666666666666,False
ot_ge_5_grid_1,24,270,11.25,2,10,0.041666666666666075,-2.791666666666666,False
ot_ge_5_stability_1,24,270,11.25,2,10,0.041666666666666075,-2.791666666666666,False
current_ensemble,24,269,11.208333333333334,1,11,0.0,-2.833333333333332,False
street_stability_1,24,267,11.125,2,10,-0.08333333333333393,-2.916666666666666,False
candidate_a,24,262,10.916666666666666,1,11,-0.29166666666666785,-3.125,False
ot_ge_5.5_grid_0.25,24,262,10.916666666666666,1,11,-0.29166666666666785,-3.125,False
ot_ge_5.5_stability_0.25,24,262,10.916666666666666,1,11,-0.29166666666666785,-3.125,False
ot_ge_6.5_grid_0.25,24,262,10.916666666666666,1,11,-0.29166666666666785,-3.125,False
ot_ge_6.5_stability_0.25,24,262,10.916666666666666,1,11,-0.29166666666666785,-3.125,False
ot_ge_6_grid_0.25,24,262,10.916666666666666,1,11,-0.29166666666666785,-3.125,False
ot_ge_6_stability_0.25,24,262,10.916666666666666,1,11,-0.29166666666666785,-3.125,False
ot_ge_5.5_grid_0.5,24,257,10.708333333333334,1,11,-0.5,-3.333333333333332,False
ot_ge_5.5_stability_0.5,24,257,10.708333333333334,1,11,-0.5,-3.333333333333332,False
ot_ge_6.5_grid_0.5,24,257,10.708333333333334,1,11,-0.5,-3.333333333333332,False
ot_ge_6.5_stability_0.5,24,257,10.708333333333334,1,11,-0.5,-3.333333333333332,False
ot_ge_6_grid_0.5,24,257,10.708333333333334,1,11,-0.5,-3.333333333333332,False
ot_ge_6_stability_0.5,24,257,10.708333333333334,1,11,-0.5,-3.333333333333332,False
ot_ge_4.5_grid_0.25,24,257,10.708333333333334,1,10,-0.5,-3.333333333333332,False
ot_ge_4.5_stability_0.25,24,257,10.708333333333334,1,10,-0.5,-3.333333333333332,False
ot_ge_5_grid_0.25,24,257,10.708333333333334,1,10,-0.5,-3.333333333333332,False
ot_ge_5_stability_0.25,24,257,10.708333333333334,1,10,-0.5,-3.333333333333332,False
street_stability_0.25,24,257,10.708333333333334,1,10,-0.5,-3.333333333333332,False
street_stability_0.5,24,257,10.708333333333334,1,10,-0.5,-3.333333333333332,False
ot_ge_4.5_grid_0.5,24,252,10.5,1,10,-0.7083333333333339,-3.541666666666666,False
ot_ge_4.5_stability_0.5,24,252,10.5,1,10,-0.7083333333333339,-3.541666666666666,False
ot_ge_5_grid_0.5,24,252,10.5,1,10,-0.7083333333333339,-3.541666666666666,False
ot_ge_5_stability_0.5,24,252,10.5,1,10,-0.7083333333333339,-3.541666666666666,False
