strategy,model,year,round,race_name,circuit_id,training_cutoff_round,picked_driver,grid_position,actual_pos,fantasy_pts,exact,within_2
naive_grid_p10,naive_grid_p10,2025,1,Australian Grand Prix,albert_park,0,sainz,10.0,18,2,0,0
preseason_static:ensemble,ensemble,2025,1,Australian Grand Prix,albert_park,0,bortoleto,15.0,16,6,0,0
preseason_static:lgb_reg,lgb_reg,2025,1,Australian Grand Prix,albert_park,0,sainz,10.0,18,2,0,0
preseason_static:lgbm_ranker,lgbm_ranker,2025,1,Australian Grand Prix,albert_park,0,bortoleto,15.0,16,6,0,0
preseason_static:rf_clf,rf_clf,2025,1,Australian Grand Prix,albert_park,0,hadjar,11.0,20,0,0,0
preseason_static:rf_reg,rf_reg,2025,1,Australian Grand Prix,albert_park,0,albon,6.0,5,8,0,0
preseason_static:ridge,ridge,2025,1,Australian Grand Prix,albert_park,0,tsunoda,5.0,12,15,0,1
preseason_static:xgb_clf,xgb_clf,2025,1,Australian Grand Prix,albert_park,0,bortoleto,15.0,16,6,0,0
preseason_static:xgb_ranker,xgb_ranker,2025,1,Australian Grand Prix,albert_park,0,bortoleto,15.0,16,6,0,0
preseason_static:xgb_reg,xgb_reg,2025,1,Australian Grand Prix,albert_park,0,hadjar,11.0,20,0,0,0
checkpoint_5_10_15:ensemble,ensemble,2025,1,Australian Grand Prix,albert_park,0,bortoleto,15.0,16,6,0,0
checkpoint_5_10_15:lgb_reg,lgb_reg,2025,1,Australian Grand Prix,albert_park,0,sainz,10.0,18,2,0,0
checkpoint_5_10_15:lgbm_ranker,lgbm_ranker,2025,1,Australian Grand Prix,albert_park,0,bortoleto,15.0,16,6,0,0
checkpoint_5_10_15:rf_clf,rf_clf,2025,1,Australian Grand Prix,albert_park,0,hadjar,11.0,20,0,0,0
checkpoint_5_10_15:rf_reg,rf_reg,2025,1,Australian Grand Prix,albert_park,0,albon,6.0,5,8,0,0
checkpoint_5_10_15:ridge,ridge,2025,1,Australian Grand Prix,albert_park,0,tsunoda,5.0,12,15,0,1
checkpoint_5_10_15:xgb_clf,xgb_clf,2025,1,Australian Grand Prix,albert_park,0,bortoleto,15.0,16,6,0,0
checkpoint_5_10_15:xgb_ranker,xgb_ranker,2025,1,Australian Grand Prix,albert_park,0,bortoleto,15.0,16,6,0,0
checkpoint_5_10_15:xgb_reg,xgb_reg,2025,1,Australian Grand Prix,albert_park,0,hadjar,11.0,20,0,0,0
every_5:ensemble,ensemble,2025,1,Australian Grand Prix,albert_park,0,bortoleto,15.0,16,6,0,0
every_5:lgb_reg,lgb_reg,2025,1,Australian Grand Prix,albert_park,0,sainz,10.0,18,2,0,0
every_5:lgbm_ranker,lgbm_ranker,2025,1,Australian Grand Prix,albert_park,0,bortoleto,15.0,16,6,0,0
every_5:rf_clf,rf_clf,2025,1,Australian Grand Prix,albert_park,0,hadjar,11.0,20,0,0,0
every_5:rf_reg,rf_reg,2025,1,Australian Grand Prix,albert_park,0,albon,6.0,5,8,0,0
every_5:ridge,ridge,2025,1,Australian Grand Prix,albert_park,0,tsunoda,5.0,12,15,0,1
