strategy,n_races,total_pts,avg_pts,exact_p10,within_2,delta_vs_naive,delta_vs_preseason_ensemble,passes_gap_gate
naive_grid_p10,24,337,14.041666666666666,3,12,0.0,1.041666666666666,True
preseason_static:xgb_clf,24,337,14.041666666666666,4,11,0.0,1.041666666666666,True
every_5:rf_clf,24,326,13.583333333333334,3,13,-0.45833333333333215,0.5833333333333339,False
preseason_static:ensemble,24,312,13.0,4,11,-1.041666666666666,0.0,False
checkpoint_5_10_15:rf_clf,24,304,12.666666666666666,2,11,-1.375,-0.3333333333333339,False
checkpoint_5_10_15:lgb_reg,24,302,12.583333333333334,1,11,-1.4583333333333321,-0.4166666666666661,False
checkpoint_5_10_15:xgb_clf,24,289,12.041666666666666,1,9,-2.0,-0.9583333333333339,False
preseason_static:rf_clf,24,287,11.958333333333334,2,11,-2.083333333333332,-1.041666666666666,False
every_5:ensemble,24,283,11.791666666666666,1,10,-2.25,-1.208333333333334,False
every_5:lgbm_ranker,24,282,11.75,0,11,-2.291666666666666,-1.25,False
every_5:xgb_ranker,24,281,11.708333333333334,2,10,-2.333333333333332,-1.291666666666666,False
checkpoint_5_10_15:ensemble,24,279,11.625,1,10,-2.416666666666666,-1.375,False
checkpoint_5_10_15:lgbm_ranker,24,279,11.625,0,10,-2.416666666666666,-1.375,False
checkpoint_5_10_15:xgb_ranker,24,277,11.541666666666666,2,10,-2.5,-1.458333333333334,False
every_5:lgb_reg,24,272,11.333333333333334,1,8,-2.708333333333332,-1.666666666666666,False
preseason_static:lgbm_ranker,24,270,11.25,2,11,-2.791666666666666,-1.75,False
preseason_static:xgb_ranker,24,269,11.208333333333334,4,9,-2.833333333333332,-1.791666666666666,False
checkpoint_5_10_15:rf_reg,24,268,11.166666666666666,1,9,-2.875,-1.833333333333334,False
every_5:xgb_clf,24,267,11.125,1,8,-2.916666666666666,-1.875,False
every_5:rf_reg,24,260,10.833333333333334,1,9,-3.208333333333332,-2.166666666666666,False
every_5:xgb_reg,24,257,10.708333333333334,1,8,-3.333333333333332,-2.291666666666666,False
checkpoint_5_10_15:ridge,24,252,10.5,0,9,-3.541666666666666,-2.5,False
every_5:ridge,24,252,10.5,0,9,-3.541666666666666,-2.5,False
checkpoint_5_10_15:xgb_reg,24,250,10.416666666666666,1,7,-3.625,-2.583333333333334,False
preseason_static:ridge,24,243,10.125,0,8,-3.916666666666666,-2.875,False
preseason_static:xgb_reg,24,238,9.916666666666666,1,6,-4.125,-3.083333333333334,False
preseason_static:rf_reg,24,233,9.708333333333334,1,8,-4.333333333333332,-3.291666666666666,False
preseason_static:lgb_reg,24,227,9.458333333333334,1,7,-4.583333333333332,-3.541666666666666,False
