variant,year,round,race_name,circuit_id,picked_driver,grid_position,predicted_position,actual_pos,fantasy_pts,exact,within_2
current_rf_reg,2025,1,Australian Grand Prix,albert_park,albon,6.0,9.957271772221665,5,8,0,0
current_rf_reg,2025,2,Chinese Grand Prix,shanghai,hadjar,7.0,10.484275787951129,11,18,0,1
current_rf_reg,2025,3,Japanese Grand Prix,suzuka,hamilton,8.0,10.084874044796898,7,12,0,0
current_rf_reg,2025,4,Bahrain Grand Prix,bahrain,sainz,8.0,10.101164318116599,19,1,0,0
current_rf_reg,2025,5,Saudi Arabian Grand Prix,jeddah,tsunoda,8.0,10.815605574863296,19,1,0,0
current_rf_reg,2025,6,Miami Grand Prix,miami,hamilton,12.0,9.205826054502118,8,15,0,1
current_rf_reg,2025,7,Emilia Romagna Grand Prix,imola,antonelli,13.0,10.270062298777152,19,1,0,0
current_rf_reg,2025,8,Monaco Grand Prix,monaco,russell,14.0,9.977490306969472,11,18,0,1
current_rf_reg,2025,9,Spanish Grand Prix,catalunya,albon,11.0,10.934692609184129,19,1,0,0
current_rf_reg,2025,10,Canadian Grand Prix,villeneuve,albon,10.0,11.089773323951418,20,0,0,0
current_rf_reg,2025,11,Austrian Grand Prix,red_bull_ring,antonelli,9.0,9.417887611555035,19,1,0,0
current_rf_reg,2025,12,British Grand Prix,silverstone,bearman,8.0,10.982586263676579,11,18,0,1
current_rf_reg,2025,13,Belgian Grand Prix,spa,hamilton,16.0,9.050612417676398,7,12,0,0
current_rf_reg,2025,14,Hungarian Grand Prix,hungaroring,stroll,6.0,9.714798959039502,7,12,0,0
current_rf_reg,2025,15,Dutch Grand Prix,zandvoort,antonelli,11.0,9.875519032704162,16,6,0,0
current_rf_reg,2025,16,Italian Grand Prix,monza,alonso,9.0,11.094798136082012,19,1,0,0
current_rf_reg,2025,17,Azerbaijan Grand Prix,baku,hadjar,8.0,10.374148391986514,10,25,1,1
current_rf_reg,2025,18,Singapore Grand Prix,marina_bay,hadjar,8.0,10.729329230483408,11,18,0,1
current_rf_reg,2025,19,United States Grand Prix,americas,sainz,9.0,10.368068581675127,20,0,0,0
current_rf_reg,2025,20,Mexico City Grand Prix,rodriguez,tsunoda,11.0,10.810334202431836,11,18,0,1
current_rf_reg,2025,21,São Paulo Grand Prix,interlagos,lawson,7.0,9.712342846480135,7,12,0,0
current_rf_reg,2025,22,Las Vegas Grand Prix,vegas,hamilton,20.0,10.745291404058971,8,15,0,1
current_rf_reg,2025,23,Qatar Grand Prix,losail,alonso,8.0,10.678880198219904,7,12,0,0
current_rf_reg,2025,24,Abu Dhabi Grand Prix,yas_marina,antonelli,14.0,10.308739283289588,15,8,0,0
no_weather,2025,1,Australian Grand Prix,albert_park,albon,6.0,9.92213461904235,5,8,0,0
no_weather,2025,2,Chinese Grand Prix,shanghai,albon,10.0,10.555855744413277,7,12,0,0
no_weather,2025,3,Japanese Grand Prix,suzuka,hamilton,8.0,9.974693807184902,7,12,0,0
no_weather,2025,4,Bahrain Grand Prix,bahrain,sainz,8.0,10.06711087367035,19,1,0,0
no_weather,2025,5,Saudi Arabian Grand Prix,jeddah,tsunoda,8.0,10.771023427893187,19,1,0,0
no_weather,2025,6,Miami Grand Prix,miami,hamilton,12.0,9.169196290758512,8,15,0,1
no_weather,2025,7,Emilia Romagna Grand Prix,imola,antonelli,13.0,10.353731787194564,19,1,0,0
no_weather,2025,8,Monaco Grand Prix,monaco,russell,14.0,10.045050651815815,11,18,0,1
no_weather,2025,9,Spanish Grand Prix,catalunya,albon,11.0,10.968668988180525,19,1,0,0
no_weather,2025,10,Canadian Grand Prix,villeneuve,albon,10.0,11.094677601052984,20,0,0,0
no_weather,2025,11,Austrian Grand Prix,red_bull_ring,antonelli,9.0,9.323489437882758,19,1,0,0
no_weather,2025,12,British Grand Prix,silverstone,bearman,8.0,11.013841741947754,11,18,0,1
no_weather,2025,13,Belgian Grand Prix,spa,hamilton,16.0,8.900902762006854,7,12,0,0
no_weather,2025,14,Hungarian Grand Prix,hungaroring,stroll,6.0,9.744573775595182,7,12,0,0
no_weather,2025,15,Dutch Grand Prix,zandvoort,antonelli,11.0,9.740507830918402,16,6,0,0
no_weather,2025,16,Italian Grand Prix,monza,alonso,9.0,11.15691382719287,19,1,0,0
no_weather,2025,17,Azerbaijan Grand Prix,baku,hadjar,8.0,10.40702868778302,10,25,1,1
no_weather,2025,18,Singapore Grand Prix,marina_bay,hadjar,8.0,10.738962459927135,11,18,0,1
no_weather,2025,19,United States Grand Prix,americas,sainz,9.0,10.290626692367807,20,0,0,0
no_weather,2025,20,Mexico City Grand Prix,rodriguez,tsunoda,11.0,10.808747742798605,11,18,0,1
no_weather,2025,21,São Paulo Grand Prix,interlagos,lawson,7.0,9.80936793670871,7,12,0,0
no_weather,2025,22,Las Vegas Grand Prix,vegas,hamilton,20.0,10.803779684256002,8,15,0,1
no_weather,2025,23,Qatar Grand Prix,losail,alonso,8.0,10.712131194980186,7,12,0,0
no_weather,2025,24,Abu Dhabi Grand Prix,yas_marina,antonelli,14.0,10.291920641522765,15,8,0,0
no_v9_weather,2025,1,Australian Grand Prix,albert_park,albon,6.0,10.046091589041332,5,8,0,0
no_v9_weather,2025,2,Chinese Grand Prix,shanghai,albon,10.0,10.401299719007064,7,12,0,0
no_v9_weather,2025,3,Japanese Grand Prix,suzuka,hamilton,8.0,9.910019552733266,7,12,0,0
no_v9_weather,2025,4,Bahrain Grand Prix,bahrain,sainz,8.0,10.087025693685263,19,1,0,0
no_v9_weather,2025,5,Saudi Arabian Grand Prix,jeddah,tsunoda,8.0,10.75814521197083,19,1,0,0
no_v9_weather,2025,6,Miami Grand Prix,miami,hamilton,12.0,9.21734567725385,8,15,0,1
no_v9_weather,2025,7,Emilia Romagna Grand Prix,imola,alonso,5.0,9.67412043512545,11,18,0,1
no_v9_weather,2025,8,Monaco Grand Prix,monaco,russell,14.0,10.334064807557102,11,18,0,1
no_v9_weather,2025,9,Spanish Grand Prix,catalunya,hadjar,9.0,10.919078965477787,7,12,0,0
no_v9_weather,2025,10,Canadian Grand Prix,villeneuve,albon,10.0,11.133004692372765,20,0,0,0
no_v9_weather,2025,11,Austrian Grand Prix,red_bull_ring,lawson,6.0,9.147912629406155,6,10,0,0
no_v9_weather,2025,12,British Grand Prix,silverstone,bearman,8.0,10.902214976253783,11,18,0,1
no_v9_weather,2025,13,Belgian Grand Prix,spa,hamilton,16.0,9.201058839808146,7,12,0,0
no_v9_weather,2025,14,Hungarian Grand Prix,hungaroring,bortoleto,7.0,10.474687328949301,6,10,0,0
