eval_label,year,round,model,picked,actual_pos,fantasy_pts,candidate
cv_baseline_v62,2024,1,ridge,piastri,8,15,baseline_v62
cv_baseline_v62,2024,1,rf_reg,hamilton,7,12,baseline_v62
cv_baseline_v62,2024,1,rf_clf,tsunoda,14,10,baseline_v62
cv_baseline_v62,2024,1,xgb_reg,alonso,9,18,baseline_v62
cv_baseline_v62,2024,1,xgb_clf,kevin_magnussen,12,15,baseline_v62
cv_baseline_v62,2024,1,xgb_ranker,kevin_magnussen,12,15,baseline_v62
cv_baseline_v62,2024,1,lgb_reg,hamilton,7,12,baseline_v62
cv_baseline_v62,2024,1,lgbm_ranker,stroll,10,25,baseline_v62
cv_baseline_v62,2024,1,ensemble,kevin_magnussen,12,15,baseline_v62
cv_baseline_v62,2024,1,ensemble_test,kevin_magnussen,12,15,baseline_v62
cv_baseline_v62,2024,2,ridge,stroll,19,1,baseline_v62
cv_baseline_v62,2024,2,rf_reg,stroll,19,1,baseline_v62
cv_baseline_v62,2024,2,rf_clf,tsunoda,15,8,baseline_v62
cv_baseline_v62,2024,2,xgb_reg,bearman,7,12,baseline_v62
cv_baseline_v62,2024,2,xgb_clf,ricciardo,16,6,baseline_v62
cv_baseline_v62,2024,2,xgb_ranker,kevin_magnussen,12,15,baseline_v62
cv_baseline_v62,2024,2,lgb_reg,bearman,7,12,baseline_v62
cv_baseline_v62,2024,2,lgbm_ranker,kevin_magnussen,12,15,baseline_v62
cv_baseline_v62,2024,2,ensemble,stroll,19,1,baseline_v62
cv_baseline_v62,2024,2,ensemble_test,kevin_magnussen,12,15,baseline_v62
cv_baseline_v62,2024,3,ridge,stroll,6,10,baseline_v62
cv_baseline_v62,2024,3,rf_reg,alonso,8,15,baseline_v62
cv_baseline_v62,2024,3,rf_clf,albon,11,18,baseline_v62
cv_baseline_v62,2024,3,xgb_reg,stroll,6,10,baseline_v62
cv_baseline_v62,2024,3,xgb_clf,albon,11,18,baseline_v62
cv_baseline_v62,2024,3,xgb_ranker,albon,11,18,baseline_v62
cv_baseline_v62,2024,3,lgb_reg,alonso,8,15,baseline_v62
cv_baseline_v62,2024,3,lgbm_ranker,albon,11,18,baseline_v62
cv_baseline_v62,2024,3,ensemble,albon,11,18,baseline_v62
cv_baseline_v62,2024,3,ensemble_test,albon,11,18,baseline_v62
cv_baseline_v62,2024,4,ridge,russell,7,12,baseline_v62
cv_baseline_v62,2024,4,rf_reg,russell,7,12,baseline_v62
cv_baseline_v62,2024,4,rf_clf,tsunoda,10,25,baseline_v62
cv_baseline_v62,2024,4,xgb_reg,russell,7,12,baseline_v62
cv_baseline_v62,2024,4,xgb_clf,tsunoda,10,25,baseline_v62
cv_baseline_v62,2024,4,xgb_ranker,alonso,6,10,baseline_v62
cv_baseline_v62,2024,4,lgb_reg,russell,7,12,baseline_v62
cv_baseline_v62,2024,4,lgbm_ranker,bottas,14,10,baseline_v62
cv_baseline_v62,2024,4,ensemble,tsunoda,10,25,baseline_v62
cv_baseline_v62,2024,4,ensemble_test,hulkenberg,11,18,baseline_v62
cv_baseline_v62,2024,5,ridge,stroll,15,8,baseline_v62
cv_baseline_v62,2024,5,rf_reg,stroll,15,8,baseline_v62
cv_baseline_v62,2024,5,rf_clf,stroll,15,8,baseline_v62
cv_baseline_v62,2024,5,xgb_reg,russell,6,10,baseline_v62
cv_baseline_v62,2024,5,xgb_clf,stroll,15,8,baseline_v62
cv_baseline_v62,2024,5,xgb_ranker,stroll,15,8,baseline_v62
cv_baseline_v62,2024,5,lgb_reg,sainz,5,8,baseline_v62
cv_baseline_v62,2024,5,lgbm_ranker,hulkenberg,10,25,baseline_v62
cv_baseline_v62,2024,5,ensemble,stroll,15,8,baseline_v62
cv_baseline_v62,2024,5,ensemble_test,stroll,15,8,baseline_v62
cv_baseline_v62,2024,6,ridge,stroll,17,4,baseline_v62
cv_baseline_v62,2024,6,rf_reg,hamilton,6,10,baseline_v62
cv_baseline_v62,2024,6,rf_clf,stroll,17,4,baseline_v62
cv_baseline_v62,2024,6,xgb_reg,russell,8,15,baseline_v62
cv_baseline_v62,2024,6,xgb_clf,stroll,17,4,baseline_v62
cv_baseline_v62,2024,6,xgb_ranker,stroll,17,4,baseline_v62
cv_baseline_v62,2024,6,lgb_reg,alonso,9,18,baseline_v62
cv_baseline_v62,2024,6,lgbm_ranker,stroll,17,4,baseline_v62
cv_baseline_v62,2024,6,ensemble,stroll,17,4,baseline_v62
cv_baseline_v62,2024,6,ensemble_test,stroll,17,4,baseline_v62
cv_baseline_v62,2024,7,ridge,tsunoda,10,25,baseline_v62
cv_baseline_v62,2024,7,rf_reg,hamilton,6,10,baseline_v62
cv_baseline_v62,2024,7,rf_clf,ocon,14,10,baseline_v62
cv_baseline_v62,2024,7,xgb_reg,tsunoda,10,25,baseline_v62
cv_baseline_v62,2024,7,xgb_clf,tsunoda,10,25,baseline_v62
cv_baseline_v62,2024,7,xgb_ranker,alonso,19,1,baseline_v62
cv_baseline_v62,2024,7,lgb_reg,ricciardo,13,12,baseline_v62
cv_baseline_v62,2024,7,lgbm_ranker,ocon,14,10,baseline_v62
cv_baseline_v62,2024,7,ensemble,ocon,14,10,baseline_v62
cv_baseline_v62,2024,7,ensemble_test,ocon,14,10,baseline_v62
cv_baseline_v62,2024,8,ridge,tsunoda,8,15,baseline_v62
cv_baseline_v62,2024,8,rf_reg,tsunoda,8,15,baseline_v62
cv_baseline_v62,2024,8,rf_clf,stroll,14,10,baseline_v62
cv_baseline_v62,2024,8,xgb_reg,tsunoda,8,15,baseline_v62
cv_baseline_v62,2024,8,xgb_clf,gasly,10,25,baseline_v62
cv_baseline_v62,2024,8,xgb_ranker,gasly,10,25,baseline_v62
cv_baseline_v62,2024,8,lgb_reg,perez,18,2,baseline_v62
cv_baseline_v62,2024,8,lgbm_ranker,gasly,10,25,baseline_v62
cv_baseline_v62,2024,8,ensemble,gasly,10,25,baseline_v62
