category,model,mean_pts
standard,ensemble,11.604700854700853
standard,lgb_reg,10.476495726495726
standard,lgbm_ranker,10.341880341880342
standard,rf_clf,11.055555555555555
standard,rf_reg,12.07905982905983
standard,ridge,11.094017094017095
standard,xgb_clf,12.664529914529915
standard,xgb_ranker,10.057692307692308
standard,xgb_reg,11.61965811965812
sticky,ensemble,12.183333333333332
sticky,lgb_reg,10.066666666666668
sticky,lgbm_ranker,12.549999999999999
sticky,rf_clf,15.016666666666666
sticky,rf_reg,14.666666666666666
sticky,ridge,11.916666666666666
sticky,xgb_clf,13.450000000000001
sticky,xgb_ranker,12.183333333333332
sticky,xgb_reg,11.483333333333334
street,ensemble,10.888888888888891
street,lgb_reg,9.388888888888888
street,lgbm_ranker,12.144444444444446
street,rf_clf,12.122222222222222
street,rf_reg,11.222222222222221
street,ridge,12.533333333333333
street,xgb_clf,9.88888888888889
street,xgb_ranker,11.033333333333333
street,xgb_reg,9.977777777777778
