year,round,race_name,circuit_id,model,picked_driver,actual_pos,fantasy_pts,actual_p10_driver,was_exact_p10
2026,1,Australian Grand Prix,albert_park,ensemble,bearman,7,12,gasly,False
2026,1,Australian Grand Prix,albert_park,ensemble,ocon,11,18,gasly,False
2026,1,Australian Grand Prix,albert_park,lgb_reg,lawson,13,12,gasly,False
2026,1,Australian Grand Prix,albert_park,lgb_reg,lawson,13,12,gasly,False
2026,1,Australian Grand Prix,albert_park,lgbm_ranker,lawson,13,12,gasly,False
2026,1,Australian Grand Prix,albert_park,lgbm_ranker,lawson,13,12,gasly,False
2026,1,Australian Grand Prix,albert_park,naive_grid_p10,bortoleto,9,18,gasly,False
2026,1,Australian Grand Prix,albert_park,naive_grid_p10,bortoleto,9,18,gasly,False
2026,1,Australian Grand Prix,albert_park,rf_clf,bearman,7,12,gasly,False
2026,1,Australian Grand Prix,albert_park,rf_clf,bearman,7,12,gasly,False
2026,1,Australian Grand Prix,albert_park,rf_reg,lawson,13,12,gasly,False
2026,1,Australian Grand Prix,albert_park,rf_reg,lawson,13,12,gasly,False
2026,1,Australian Grand Prix,albert_park,ridge,hadjar,20,0,gasly,False
2026,1,Australian Grand Prix,albert_park,ridge,hadjar,20,0,gasly,False
2026,1,Australian Grand Prix,albert_park,xgb_clf,arvid_lindblad,8,15,gasly,False
2026,1,Australian Grand Prix,albert_park,xgb_clf,arvid_lindblad,8,15,gasly,False
2026,1,Australian Grand Prix,albert_park,xgb_ranker,bearman,7,12,gasly,False
2026,1,Australian Grand Prix,albert_park,xgb_ranker,ocon,11,18,gasly,False
2026,1,Australian Grand Prix,albert_park,xgb_reg,arvid_lindblad,8,15,gasly,False
2026,1,Australian Grand Prix,albert_park,xgb_reg,arvid_lindblad,8,15,gasly,False
2026,2,Chinese Grand Prix,shanghai,ensemble,gasly,6,10,colapinto,False
2026,2,Chinese Grand Prix,shanghai,ensemble,hadjar,8,15,colapinto,False
2026,2,Chinese Grand Prix,shanghai,lgb_reg,gasly,6,10,colapinto,False
2026,2,Chinese Grand Prix,shanghai,lgb_reg,max_verstappen,16,6,colapinto,False
2026,2,Chinese Grand Prix,shanghai,lgbm_ranker,hadjar,8,15,colapinto,False
2026,2,Chinese Grand Prix,shanghai,lgbm_ranker,hadjar,8,15,colapinto,False
2026,2,Chinese Grand Prix,shanghai,naive_grid_p10,bearman,5,8,colapinto,False
2026,2,Chinese Grand Prix,shanghai,naive_grid_p10,bearman,5,8,colapinto,False
2026,2,Chinese Grand Prix,shanghai,rf_clf,bearman,5,8,colapinto,False
2026,2,Chinese Grand Prix,shanghai,rf_clf,bearman,5,8,colapinto,False
2026,2,Chinese Grand Prix,shanghai,rf_reg,gasly,6,10,colapinto,False
2026,2,Chinese Grand Prix,shanghai,rf_reg,gasly,6,10,colapinto,False
2026,2,Chinese Grand Prix,shanghai,ridge,gasly,6,10,colapinto,False
2026,2,Chinese Grand Prix,shanghai,ridge,gasly,6,10,colapinto,False
2026,2,Chinese Grand Prix,shanghai,xgb_clf,colapinto,10,25,colapinto,True
2026,2,Chinese Grand Prix,shanghai,xgb_clf,arvid_lindblad,12,15,colapinto,False
2026,2,Chinese Grand Prix,shanghai,xgb_ranker,gasly,6,10,colapinto,False
2026,2,Chinese Grand Prix,shanghai,xgb_ranker,hadjar,8,15,colapinto,False
2026,2,Chinese Grand Prix,shanghai,xgb_reg,gasly,6,10,colapinto,False
2026,2,Chinese Grand Prix,shanghai,xgb_reg,hadjar,8,15,colapinto,False
