year,round,race_name,config,pick,pts,early
2025,1,Australian Grand Prix,baseline_v823,gasly,18,1
2025,2,Chinese Grand Prix,baseline_v823,albon,12,1
2025,3,Japanese Grand Prix,baseline_v823,bearman,25,1
2025,4,Bahrain Grand Prix,baseline_v823,hadjar,12,1
2025,5,Saudi Arabian Grand Prix,baseline_v823,albon,18,1
2025,6,Miami Grand Prix,baseline_v823,hadjar,18,0
2025,7,Emilia Romagna Grand Prix,baseline_v823,hadjar,18,0
2025,8,Monaco Grand Prix,baseline_v823,albon,18,0
2025,9,Spanish Grand Prix,baseline_v823,hadjar,12,0
2025,10,Canadian Grand Prix,baseline_v823,hadjar,6,0
2025,11,Austrian Grand Prix,baseline_v823,hadjar,15,0
2025,12,British Grand Prix,baseline_v823,bearman,18,0
2025,13,Belgian Grand Prix,baseline_v823,gasly,25,0
2025,14,Hungarian Grand Prix,baseline_v823,tsunoda,4,0
2025,15,Dutch Grand Prix,baseline_v823,antonelli,6,0
2025,16,Italian Grand Prix,baseline_v823,albon,12,0
2025,17,Azerbaijan Grand Prix,baseline_v823,bortoleto,18,0
2025,18,Singapore Grand Prix,baseline_v823,hadjar,18,0
2025,19,United States Grand Prix,baseline_v823,bortoleto,2,0
2025,20,Mexico City Grand Prix,baseline_v823,bearman,6,0
2025,21,São Paulo Grand Prix,baseline_v823,hadjar,15,0
2025,22,Las Vegas Grand Prix,baseline_v823,bearman,25,0
2025,23,Qatar Grand Prix,baseline_v823,albon,18,0
2025,24,Abu Dhabi Grand Prix,baseline_v823,lawson,2,0
2025,1,Australian Grand Prix,gated_early_gate,gasly,18,1
2025,2,Chinese Grand Prix,gated_early_gate,albon,12,1
2025,3,Japanese Grand Prix,gated_early_gate,bearman,25,1
2025,4,Bahrain Grand Prix,gated_early_gate,hadjar,12,1
2025,5,Saudi Arabian Grand Prix,gated_early_gate,albon,18,1
2025,6,Miami Grand Prix,gated_normal,hadjar,18,0
2025,7,Emilia Romagna Grand Prix,gated_normal,hadjar,18,0
2025,8,Monaco Grand Prix,gated_normal,albon,18,0
2025,9,Spanish Grand Prix,gated_normal,hadjar,12,0
2025,10,Canadian Grand Prix,gated_normal,hadjar,6,0
2025,11,Austrian Grand Prix,gated_normal,hadjar,15,0
2025,12,British Grand Prix,gated_normal,bearman,18,0
2025,13,Belgian Grand Prix,gated_normal,gasly,25,0
2025,14,Hungarian Grand Prix,gated_normal,tsunoda,4,0
2025,15,Dutch Grand Prix,gated_normal,antonelli,6,0
2025,16,Italian Grand Prix,gated_normal,albon,12,0
2025,17,Azerbaijan Grand Prix,gated_normal,bortoleto,18,0
2025,18,Singapore Grand Prix,gated_normal,hadjar,18,0
2025,19,United States Grand Prix,gated_normal,bortoleto,2,0
2025,20,Mexico City Grand Prix,gated_normal,bearman,6,0
2025,21,São Paulo Grand Prix,gated_normal,hadjar,15,0
2025,22,Las Vegas Grand Prix,gated_normal,bearman,25,0
2025,23,Qatar Grand Prix,gated_normal,albon,18,0
2025,24,Abu Dhabi Grand Prix,gated_normal,lawson,2,0
