year,round,circuit_id,race_date,precipitation_mm,condition
2010,17,yeongam,2010-10-24,12.0,wet
2011,6,monaco,2011-05-29,2.5,damp
2011,7,villeneuve,2011-06-12,28.0,very wet
2012,2,sepang,2012-03-25,15.0,wet
2012,15,suzuka,2012-10-07,8.0,wet
2012,20,interlagos,2012-11-25,6.0,wet
2013,8,silverstone,2013-06-30,14.0,wet
2014,15,suzuka,2014-10-05,22.0,very wet
2014,18,interlagos,2014-11-09,3.5,damp
2015,16,americas,2015-10-25,20.0,very wet
2015,18,interlagos,2015-11-15,4.0,damp
2016,20,interlagos,2016-11-13,13.0,wet
2017,19,interlagos,2017-11-12,9.0,wet
2018,11,hockenheimring,2018-07-22,16.0,very wet
2018,17,suzuka,2018-10-07,7.0,wet
2019,11,hockenheimring,2019-07-28,22.0,very wet
2019,20,interlagos,2019-11-17,9.0,wet
2020,11,nurburgring,2020-10-11,4.0,damp
2020,14,istanbul,2020-11-15,24.0,very wet
2021,2,imola,2021-04-18,19.0,very wet
2021,11,hungaroring,2021-08-01,6.0,wet
2021,12,spa,2021-08-29,38.0,very wet
2021,15,sochi,2021-09-26,13.0,wet
2021,19,interlagos,2021-11-14,11.0,wet
2022,17,marina_bay,2022-10-02,4.5,damp
2022,18,suzuka,2022-10-09,16.0,very wet
2023,20,interlagos,2023-11-05,13.0,wet
2024,14,spa,2024-07-28,21.0,very wet
2024,21,interlagos,2024-11-03,16.0,very wet
2025,13,spa,2025-07-27,9.0,wet
2025,21,interlagos,2025-11-09,8.0,wet
