circuit_id,n_races,n_wet,avg_precip,max_precip,avg_temp_max,wet_pct
interlagos,15,10,6.166666666666667,16.0,25.4,66.66666666666667
hockenheimring,6,2,6.333333333333333,22.0,25.0,33.333333333333336
nurburgring,3,1,1.3333333333333333,4.0,20.0,33.333333333333336
suzuka,14,4,3.7857142857142856,22.0,21.142857142857142,28.571428571428573
yeongam,4,1,3.0,12.0,18.25,25.0
istanbul,4,1,6.0,24.0,23.25,25.0
imola,5,1,3.8,19.0,18.4,20.0
spa,16,3,4.25,38.0,19.4375,18.75
sochi,8,1,1.625,13.0,16.625,12.5
sepang,8,1,1.875,15.0,32.625,12.5
americas,13,1,1.5384615384615385,20.0,25.76923076923077,7.6923076923076925
villeneuve,14,1,2.0,28.0,25.785714285714285,7.142857142857143
marina_bay,14,1,0.32142857142857145,4.5,32.0,7.142857142857143
monaco,15,1,0.16666666666666666,2.5,22.0,6.666666666666667
hungaroring,16,1,0.375,6.0,32.8125,6.25
silverstone,17,1,0.8235294117647058,14.0,21.823529411764707,5.882352941176471
albert_park,14,0,0.0,0.0,24.0,0.0
bahrain,16,0,0.0,0.0,33.0,0.0
buddh,3,0,0.0,0.0,32.0,0.0
mugello,1,0,0.0,0.0,25.0,0.0
monza,16,0,0.0,0.0,28.0,0.0
losail,4,0,0.0,0.0,32.0,0.0
miami,4,0,0.0,0.0,32.0,0.0
jeddah,5,0,0.0,0.0,30.0,0.0
catalunya,16,0,0.0,0.0,26.0,0.0
baku,9,0,0.0,0.0,27.0,0.0
portimao,2,0,0.0,0.0,25.0,0.0
shanghai,12,0,0.0,0.0,20.0,0.0
red_bull_ring,14,0,0.0,0.0,26.0,0.0
ricard,4,0,0.0,0.0,29.0,0.0
rodriguez,10,0,0.0,0.0,21.0,0.0
vegas,3,0,0.0,0.0,14.0,0.0
valencia,3,0,0.0,0.0,31.0,0.0
yas_marina,16,0,0.0,0.0,30.0,0.0
zandvoort,5,0,0.0,0.0,20.0,0.0
